# 1:now_time 2:interval 3:gx 4:gy 5:gz 6:motor_number 7:output
351129632 820 0.853659 0.060976 -0.121951 0 1.035186
351130463 831 0.853659 0.243902 0.000000 0 1.035269
351131297 834 0.853659 0.487805 0.060976 0 1.035352
351132126 829 1.036585 0.426829 0.121951 0 1.035435
351132957 831 0.853659 0.426829 0.060976 0 1.035518
351133786 829 0.792683 0.243902 0.060976 0 1.035601
351134617 831 0.914634 0.121951 0.121951 0 1.035684
351135450 833 0.914634 0.121951 0.182927 0 1.035768
351136278 828 0.731707 0.365854 0.121951 0 1.035850
351137113 835 0.731707 0.365854 -0.304878 0 1.035934
351137935 822 0.914634 0.060976 -0.365854 0 1.036016
351139112 1177 0.731707 0.000000 0.000000 0 1.036134
351139917 805 0.609756 0.182927 0.243902 0 1.036214
351140755 838 0.609756 0.243902 0.182927 0 1.036298
351141579 824 0.670732 0.304878 0.000000 0 1.036381
351142410 831 0.792683 0.060976 -0.243902 0 1.036464
351143242 832 0.731707 0.000000 -0.365854 0 1.036547
351144069 827 0.792683 0.060976 -0.182927 0 1.036630
351144898 829 0.914634 0.060976 -0.060976 0 1.036712
351145731 833 0.914634 0.121951 0.000000 0 1.036796
351146559 828 0.792683 0.060976 -0.060976 0 1.036878
351147388 829 0.792683 0.182927 -0.060976 0 1.036961
351148250 862 0.731707 0.121951 0.121951 0 1.037048
351149049 799 0.731707 0.000000 0.243902 0 1.037127
351149877 828 0.853659 0.121951 0.060976 0 1.037210
351150710 833 0.914634 0.060976 0.000000 0 1.037294
351151540 830 0.914634 0.182927 -0.121951 0 1.037377
351152373 833 0.914634 0.304878 -0.243902 0 1.037460
351153201 828 0.853659 0.426829 -0.182927 0 1.037543
351154030 829 0.975610 0.243902 -0.182927 0 1.037626
351154865 835 0.914634 0.000000 0.060976 0 1.037709
351155691 826 0.731707 0.000000 0.000000 0 1.037792
351156521 830 0.853659 0.121951 -0.182927 0 1.037875
351157356 835 0.731707 0.000000 -0.060976 0 1.037958
351158208 852 0.792683 0.121951 0.000000 0 1.038043
351159015 807 0.975610 0.182927 -0.121951 0 1.038124
351159842 827 1.158537 0.365854 -0.243902 0 1.038207
351160673 831 0.975610 0.548781 -0.182927 0 1.038290
351161503 830 0.914634 0.609756 -0.121951 0 1.038373
351162337 834 0.731707 0.426829 -0.060976 0 1.038456
351163167 830 0.792683 0.365854 0.121951 0 1.038539
351163995 828 0.914634 0.487805 0.121951 0 1.038622
351164829 834 0.853659 0.487805 0.121951 0 1.038705
351165660 831 0.792683 0.426829 -0.060976 0 1.038789
351166491 831 0.792683 0.304878 -0.243902 0 1.038872
351167347 856 0.853659 0.365854 -0.182927 0 1.038957
351168317 970 0.731707 0.365854 -0.121951 0 1.039054
351169041 724 0.731707 0.304878 0.000000 0 1.039127
351169867 826 0.548781 0.243902 0.060976 0 1.039209
351170697 830 0.609756 0.182927 0.304878 0 1.039292
351171527 830 0.853659 0.304878 0.121951 0 1.039375
351172362 835 0.975610 0.304878 0.060976 0 1.039459
351173188 826 0.792683 0.243902 0.000000 0 1.039541
351174017 829 0.670732 0.304878 -0.121951 0 1.039624
351174845 828 0.914634 0.304878 0.000000 0 1.039707
351175676 831 0.792683 0.304878 -0.060976 0 1.039790
351176510 834 0.731707 0.243902 -0.121951 0 1.039874
351177339 829 0.792683 0.182927 -0.121951 0 1.039956
351178192 853 0.792683 0.060976 -0.121951 0 1.040042
