#時刻 刻み幅 roll pitch yaw gx gy gz ax ay az mx my mz R L F B
1634734423 2000 0.366162 1.275379 172.714233 2.134146 1.158537 -1.524390 0.220215 0.506348 0.548828 0.000000 0.000000 0.000000 1.178848 1.177618 1.211076 1.323438
1634736423 2000 0.374852 1.341853 172.714386 0.365854 -0.304878 0.121951 -0.072266 0.492188 0.683594 0.000000 0.000000 0.000000 1.236451 1.230990 1.119007 1.304531
1634738423 2000 0.372243 1.294412 172.715149 0.914634 -0.487805 0.792683 0.014648 -0.618164 1.297363 0.000000 0.000000 0.000000 1.255201 1.259802 1.137121 1.238857
1634740423 2000 0.366609 1.265080 172.710205 3.170732 1.829268 -2.134146 0.119141 -0.469238 1.435059 0.000000 0.000000 0.000000 1.145007 1.165116 1.252033 1.328823
1634742423 2000 0.397924 1.294288 172.707748 -0.853659 -1.341463 -1.036585 -0.296875 0.270508 0.891602 0.000000 0.000000 0.000000 1.206186 1.201499 1.189570 1.293725
1634744423 2000 0.430043 1.297830 172.710052 0.548781 -0.670732 1.402439 -0.389160 0.034180 1.233887 0.000000 0.000000 0.000000 1.294990 1.265134 1.143138 1.187718
1634746423 2000 0.441746 1.244718 172.708267 -0.975610 -0.487805 -0.426829 -0.163086 -0.627930 1.242676 0.000000 0.000000 0.000000 1.224310 1.193131 1.262843 1.210696
1634748423 2000 0.479034 1.246640 172.706970 2.682927 -0.670732 -0.365854 -0.498047 -0.038086 1.350586 0.000000 0.000000 0.000000 1.227598 1.180087 1.247956 1.235339
1634750423 2000 0.431255 1.336573 172.708160 2.195122 0.426829 0.487805 0.269043 0.472656 0.319336 0.000000 0.000000 0.000000 1.273809 1.243632 1.144471 1.229068
1634752423 2000 0.457821 1.356102 172.705765 1.219512 1.158537 -1.036585 -0.136230 0.097656 0.598633 0.000000 0.000000 0.000000 1.216285 1.187741 1.204853 1.282100
1634754423 2000 0.478759 1.356707 172.706024 -1.036585 0.000000 0.365854 -0.243164 0.038574 1.250000 0.000000 0.000000 0.000000 1.231837 1.207555 1.188338 1.263250
1634756423 2000 0.443096 1.340222 172.710449 0.426829 -1.707317 2.560976 0.227051 -0.120605 0.775391 0.000000 0.000000 0.000000 1.306332 1.301353 1.089704 1.193590
1634758431 2008 0.374003 1.360467 172.704376 2.804878 0.182927 -2.804878 0.635742 0.136719 0.820801 0.000000 0.000000 0.000000 1.123126 1.161389 1.243756 1.362709
1634760431 2000 0.370067 1.353166 172.702866 0.975610 0.487805 -0.487805 0.038086 -0.072754 0.972656 0.000000 0.000000 0.000000 1.192851 1.213615 1.221746 1.262768
1634762431 2000 0.397536 1.333441 172.707596 1.829268 -0.121951 2.682927 -0.440918 -0.354492 1.672852 0.000000 0.000000 0.000000 1.303535 1.323663 1.127278 1.136505
1634764431 2000 0.373654 1.292272 172.702560 -1.646342 0.487805 -2.134146 0.182129 -0.277832 0.775391 0.000000 0.000000 0.000000 1.135915 1.174209 1.302934 1.277922
1634766431 2000 0.361958 1.350623 172.705215 0.121951 -1.097561 1.402439 0.079102 0.512207 0.847168 0.000000 0.000000 0.000000 1.224797 1.253620 1.188269 1.224295
1634768450 2019 0.408141 1.384196 172.708878 2.987805 0.426829 1.951220 -0.683105 0.417480 1.504883 0.000000 0.000000 0.000000 1.318205 1.300455 1.112479 1.159840
1634770450 2000 0.409398 1.307911 172.708328 -0.792683 0.182927 0.243902 -0.013672 -0.797852 0.913086 0.000000 0.000000 0.000000 1.244860 1.225020 1.215224 1.205876
1634772450 2000 0.333730 1.269139 172.704865 2.743902 0.365854 -1.341463 0.643555 -0.375977 0.600586 0.000000 0.000000 0.000000 1.144587 1.166757 1.302497 1.277139
1634774452 2002 0.340816 1.365168 172.708786 1.890244 1.646342 1.890244 -0.030762 0.696289 0.503906 0.000000 0.000000 0.000000 1.295938 1.305650 1.101534 1.187858
1634776452 2000 0.364900 1.424198 172.712402 3.048780 2.134146 1.829268 -0.209961 0.552734 1.013672 0.000000 0.000000 0.000000 1.266019 1.261178 1.137866 1.225916
1634778454 2002 0.349064 1.370010 172.706390 0.426829 -0.243902 -2.560976 0.207520 -0.749512 1.352539 0.000000 0.000000 0.000000 1.116342 1.136465 1.310706 1.327466
1634780454 2000 0.321719 1.303435 172.703156 -1.341463 -0.609756 -1.158537 0.499023 -1.227539 1.743652 0.000000 0.000000 0.000000 1.169631 1.201468 1.248340 1.271540
1634782454 2000 0.332631 1.319797 172.702209 2.439024 2.195122 -0.304878 -0.056641 0.099609 0.919922 0.000000 0.000000 0.000000 1.228466 1.225561 1.184659 1.252295
1634784454 2000 0.364060 1.386025 172.704697 3.536586 -1.524390 1.341463 -0.605469 1.031250 1.562500 0.000000 0.000000 0.000000 1.250565 1.237608 1.178842 1.223965
1634786454 2000 0.393815 1.385116 172.699799 0.182927 0.792683 -2.195122 -0.388184 -0.006348 1.490723 0.000000 0.000000 0.000000 1.146361 1.130837 1.308313 1.305469
