#time h roll pitch yaw R L F B
2146365259 2000 -0.040350 1.647964 -179.635727 1.000000 1.000000 1.000000 1.000000
2146367259 2000 -0.041141 1.648934 -179.636429 1.000000 1.000000 1.000000 1.000000
2146369259 2000 -0.040923 1.648503 -179.636398 1.000000 1.000000 1.000000 1.000000
2146371259 2000 -0.040812 1.647793 -179.637192 1.000000 1.000000 1.000000 1.000000
2146373259 2000 -0.040691 1.648791 -179.638000 1.000000 1.000000 1.000000 1.000000
2146375259 2000 -0.040728 1.648836 -179.638931 1.000000 1.000000 1.000000 1.000000
2146377259 2000 -0.040831 1.648596 -179.639496 1.000000 1.000000 1.000000 1.000000
2146379259 2000 -0.041074 1.649441 -179.640320 1.000000 1.000000 1.000000 1.000000
2146381259 2000 -0.040326 1.650027 -179.641235 1.000000 1.000000 1.000000 1.000000
2146383259 2000 -0.040250 1.649921 -179.642044 1.000000 1.000000 1.000000 1.000000
2146385259 2000 -0.040571 1.650313 -179.642517 1.000000 1.000000 1.000000 1.000000
2146387259 2000 -0.041218 1.650315 -179.642822 1.000000 1.000000 1.000000 1.000000
2146389259 2000 -0.041193 1.650925 -179.643509 1.000000 1.000000 1.000000 1.000000
2146391259 2000 -0.041321 1.651447 -179.643967 1.000000 1.000000 1.000000 1.000000
2146393259 2000 -0.040650 1.651379 -179.645020 1.000000 1.000000 1.000000 1.000000
